iter	Passed	Remaining
412	3669	5215
413	3677	5205
414	3686	5196
415	3695	5187
416	3703	5178
417	3712	5169
418	3721	5159
419	3729	5150
420	3738	5141
421	3747	5132
422	3756	5123
423	3764	5114
424	3773	5105
425	3782	5096
426	3792	5088
427	3801	5080
428	3809	5070
429	3818	5061
430	3827	5052
431	3836	5043
432	3845	5034
433	3853	5026
434	3862	5016
435	3871	5008
436	3880	4999
437	3889	4990
438	3897	4981
439	3906	4972
440	3915	4963
441	3924	4954
442	3932	4944
443	3941	4935
444	3949	4925
445	3958	4917
446	3967	4908
447	3977	4900
448	3986	4891
449	3994	4882
450	4003	4873
451	4012	4864
452	4020	4854
453	4029	4846
454	4038	4837
455	4047	4828
456	4056	4819
457	4065	4810
458	4074	4802
459	4083	4793
460	4092	4784
461	4101	4775
462	4110	4767
463	4119	4758
464	4128	4749
465	4137	4740
466	4146	4732
467	4155	4723
468	4164	4714
469	4172	4705
470	4181	4696
471	4190	4687
472	4199	4678
473	4207	4669
474	4216	4660
475	4225	4651
476	4233	4642
477	4242	4633
478	4251	4624
479	4259	4614
480	4268	4606
481	4277	4597
482	4286	4588
483	4295	4579
484	4304	4570
485	4313	4561
486	4322	4552
487	4331	4544
488	4339	4535
489	4348	4526
490	4357	4517
491	4366	4508
492	4375	4499
493	4384	4490
494	4393	4482
495	4402	4473
496	4411	4464
497	4420	4455
498	4428	4446
499	4437	4437
500	4446	4428
501	4455	4419
502	4464	4411
503	4473	4402
504	4482	4393
505	4490	4384
506	4499	4375
507	4508	4366
508	4517	4357
509	4526	4348
510	4535	4339
511	4543	4330
512	4552	4322
513	4561	4313
514	4570	4304
515	4579	4295
516	4588	4286
517	4597	4277
518	4606	4268
519	4615	4260
520	4623	4251
521	4632	4242
522	4641	4232
523	4649	4224
524	4660	4216
525	4669	4208
526	4678	4199
527	4687	4190
528	4696	4181
529	4705	4172
530	4713	4163
531	4722	4154
532	4731	4145
533	4739	4136
534	4748	4127
535	4757	4118
536	4766	4109
537	4775	4100
538	4784	4091
539	4792	4082
540	4801	4073
541	4810	4064
542	4818	4055
543	4827	4046
544	4836	4037
545	4845	4028
546	4854	4020
547	4863	4011
548	4871	4002
549	4879	3992
550	4888	3983
551	4897	3974
552	4905	3965
553	4914	3956
554	4922	3947
555	4931	3938
556	4940	3929
557	4950	3921
558	4959	3912
559	4968	3904
560	4978	3895
561	4986	3886
562	4995	3877
563	5004	3868
564	5013	3859
565	5022	3850
566	5032	3843
567	5042	3834
568	5051	3826
569	5060	3817
570	5068	3808
571	5077	3799
572	5086	3790
573	5095	3781
574	5103	3772
575	5112	3763
576	5120	3754
577	5129	3745
578	5138	3736
579	5147	3727
580	5156	3718
581	5164	3709
582	5173	3700
583	5182	3691
584	5191	3682
585	5199	3673
586	5208	3664
587	5216	3655
588	5225	3646
589	5234	3637
590	5243	3628
591	5251	3619
592	5260	3610
593	5269	3601
594	5278	3592
595	5287	3583
596	5296	3575
597	5304	3566
598	5313	3557
599	5322	3548
600	5330	3539
601	5340	3530
602	5350	3522
603	5359	3514
604	5369	3505
605	5378	3496
606	5387	3487
607	5395	3478
608	5404	3469
609	5413	3461
610	5422	3452
611	5430	3443
612	5439	3434
613	5448	3425
614	5457	3416
615	5465	3407
616	5474	3398
617	5483	3389
618	5491	3380
619	5500	3371
620	5508	3362
621	5517	3353
622	5526	3344
623	5535	3335
624	5543	3326
625	5552	3317
626	5561	3308
627	5570	3299
628	5578	3290
629	5587	3281
630	5596	3272
631	5605	3263
632	5614	3255
633	5623	3246
634	5631	3237
635	5640	3228
636	5649	3219
637	5658	3210
638	5667	3202
639	5676	3193
640	5685	3184
641	5694	3175
642	5703	3166
643	5712	3157
644	5721	3148
645	5729	3139
646	5738	3131
647	5747	3121
648	5755	3113
649	5764	3104
650	5773	3095
651	5782	3086
652	5790	3077
653	5799	3068
654	5808	3059
655	5816	3050
656	5825	3041
657	5834	3032
658	5843	3023
659	5852	3014
660	5861	3005
661	5869	2996
662	5878	2988
663	5887	2979
664	5896	2970
665	5905	2961
666	5913	2952
667	5923	2943
668	5932	2935
669	5941	2926
670	5950	2917
671	5959	2909
672	5968	2900
673	5977	2891
674	5986	2882
675	5995	2873
676	6004	2864
677	6013	2856
678	6022	2847
679	6031	2838
680	6040	2829
681	6049	2820
682	6058	2811
683	6067	2803
684	6076	2794
685	6085	2785
686	6094	2776
687	6103	2767
688	6112	2758
689	6120	2749
690	6129	2740
691	6138	2731
692	6146	2723
693	6155	2714
694	6164	2705
695	6173	2696
696	6182	2687
697	6190	2678
698	6199	2669
699	6208	2660
700	6217	2651
701	6226	2643
702	6235	2634
703	6243	2625
704	6251	2616
705	6260	2607
706	6269	2598
707	6278	2589
708	6286	2580
709	6295	2571
710	6304	2562
711	6313	2553
712	6321	2544
713	6330	2535
714	6339	2526
715	6348	2518
716	6357	2509
717	6365	2500
718	6374	2491
719	6383	2482
720	6392	2473
721	6401	2464
722	6410	2455
723	6418	2446
724	6427	2438
725	6436	2429
726	6445	2420
727	6454	2411
728	6463	2402
729	6471	2393
730	6480	2384
731	6489	2376
732	6498	2367
733	6507	2358
734	6516	2349
